         15773023 function calls (15684623 primitive calls) in 343.881 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5259/2150    0.007    0.000    0.098    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:760(EncodeField)
     1942    0.008    0.000    0.096    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/containers.py:595(MergeFrom)
        1    0.000    0.000    0.092    0.092 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/adam.py:101(_create_slots)
       43    0.000    0.000    0.090    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/saver.py:151(restore_op)
       43    0.000    0.000    0.090    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/io_ops.py:175(_restore_slice)
       43    0.000    0.000    0.090    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_io_ops.py:238(_restore_slice)
4388/4013    0.010    0.000    0.087    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/containers.py:379(extend)
       24    0.000    0.000    0.085    0.004 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/optimizer.py:468(_zeros_slot)
       24    0.000    0.000    0.085    0.004 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/training/slot_creator.py:91(create_zeros_slot)
481255/481252    0.083    0.000    0.084    0.000 {built-in method builtins.issubclass}
      202    0.081    0.000    0.081    0.000 {built-in method numpy.core.multiarray.zeros}
        6    0.001    0.000    0.080    0.013 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/random_ops.py:87(truncated_normal)
     1024    0.009    0.000    0.080    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:996(_NodeDef)
     1024    0.007    0.000    0.079    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:1602(set_shapes_for_outputs)
       88    0.001    0.000    0.076    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_state_ops.py:14(assign)
      321    0.009    0.000    0.071    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_util.py:275(make_tensor_proto)
    31172    0.027    0.000    0.066    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:791(<listcomp>)
     1024    0.004    0.000    0.066    0.000 /Users/taivo/anaconda/lib/python3.5/copy.py:137(deepcopy)
        1    0.063    0.063    0.063    0.063 /Users/taivo/Google Drive/ETH/cil/eth-cil-project/src/data_loading_module.py:64(<listcomp>)
    19862    0.026    0.000    0.061    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/containers.py:541(__getitem__)
       10    0.000    0.000    0.061    0.006 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/clip_ops.py:98(global_norm)
